epoch 079 | train 0.2194 | val 0.2363 | val IoU 0.6154 | 50.3 min
epoch 080 | train 0.2182 | val 0.2444 | val IoU 0.6280 | 50.8 min
epoch 081 | train 0.2180 | val 0.2530 | val IoU 0.5927 | 51.5 min
epoch 082 | train 0.2182 | val 0.2334 | val IoU 0.6241 | 52.1 min
epoch 083 | train 0.2187 | val 0.2245 | val IoU 0.6294 | 52.7 min
epoch 084 | train 0.2184 | val 0.2274 | val IoU 0.6273 | 53.3 min
epoch 085 | train 0.2180 | val 0.2253 | val IoU 0.6266 | 54.0 min
epoch 086 | train 0.2173 | val 0.2342 | val IoU 0.6281 | 54.6 min
epoch 087 | train 0.2166 | val 0.2276 | val IoU 0.6171 | 55.2 min
epoch 088 | train 0.2173 | val 0.2229 | val IoU 0.6302 | 55.8 min
epoch 089 | train 0.2152 | val 0.2315 | val IoU 0.6263 | 56.4 min
epoch 090 | train 0.2176 | val 0.2285 | val IoU 0.6280 | 57.1 min
epoch 091 | train 0.2158 | val 0.2302 | val IoU 0.6163 | 57.7 min
epoch 092 | train 0.2157 | val 0.2303 | val IoU 0.6132 | 58.3 min
epoch 093 | train 0.2147 | val 0.2393 | val IoU 0.5999 | 58.9 min
epoch 094 | train 0.2156 | val 0.2392 | val IoU 0.6148 | 59.5 min
epoch 095 | train 0.2150 | val 0.2383 | val IoU 0.6107 | 60.1 min
epoch 096 | train 0.2147 | val 0.2279 | val IoU 0.6158 | 60.7 min
epoch 097 | train 0.2155 | val 0.2240 | val IoU 0.6285 | 61.3 min
epoch 098 | train 0.2132 | val 0.2312 | val IoU 0.6243 | 61.9 min
epoch 099 | train 0.2127 | val 0.2216 | val IoU 0.6267 | 62.5 min
epoch 100 | train 0.2127 | val 0.2302 | val IoU 0.6114 | 63.1 min
epoch 101 | train 0.2134 | val 0.2281 | val IoU 0.6248 | 63.7 min
epoch 102 | train 0.2138 | val 0.2568 | val IoU 0.5678 | 64.3 min
epoch 103 | train 0.2136 | val 0.2295 | val IoU 0.6297 | 64.9 min
epoch 104 | train 0.2119 | val 0.2255 | val IoU 0.6303 | 65.4 min
epoch 105 | train 0.2123 | val 0.2288 | val IoU 0.6311 | 66.1 min
epoch 106 | train 0.2117 | val 0.2287 | val IoU 0.6260 | 66.6 min
epoch 107 | train 0.2118 | val 0.2249 | val IoU 0.6275 | 67.2 min
epoch 108 | train 0.2102 | val 0.2343 | val IoU 0.5975 | 67.8 min
epoch 109 | train 0.2096 | val 0.2346 | val IoU 0.6009 | 68.4 min
epoch 110 | train 0.2102 | val 0.2379 | val IoU 0.6018 | 69.0 min
epoch 111 | train 0.2100 | val 0.2388 | val IoU 0.6206 | 69.6 min
epoch 112 | train 0.2091 | val 0.2353 | val IoU 0.6186 | 70.2 min
epoch 113 | train 0.2091 | val 0.2365 | val IoU 0.6012 | 70.8 min
epoch 114 | train 0.2078 | val 0.2259 | val IoU 0.6305 | 71.4 min
epoch 115 | train 0.2079 | val 0.2289 | val IoU 0.6242 | 72.0 min
epoch 116 | train 0.2081 | val 0.2259 | val IoU 0.6155 | 72.6 min
epoch 117 | train 0.2074 | val 0.3280 | val IoU 0.4343 | 73.2 min
epoch 118 | train 0.2070 | val 0.2289 | val IoU 0.6157 | 73.9 min
epoch 119 | train 0.2056 | val 0.2345 | val IoU 0.6215 | 74.4 min
epoch 120 | train 0.2064 | val 0.2298 | val IoU 0.6136 | 75.0 min
epoch 121 | train 0.2063 | val 0.2335 | val IoU 0.6216 | 75.7 min
epoch 122 | train 0.2052 | val 0.2273 | val IoU 0.6223 | 76.3 min
epoch 123 | train 0.2055 | val 0.2251 | val IoU 0.6276 | 76.9 min
epoch 124 | train 0.2038 | val 0.2291 | val IoU 0.6225 | 77.5 min
epoch 125 | train 0.2036 | val 0.2407 | val IoU 0.5889 | 78.1 min
epoch 126 | train 0.2037 | val 0.2260 | val IoU 0.6198 | 78.7 min
epoch 127 | train 0.2023 | val 0.2474 | val IoU 0.5979 | 79.3 min
epoch 128 | train 0.2027 | val 0.2271 | val IoU 0.6210 | 79.9 min
epoch 129 | train 0.2020 | val 0.2528 | val IoU 0.5799 | 80.5 min
epoch 130 | train 0.2024 | val 0.2277 | val IoU 0.6280 | 81.0 min
epoch 131 | train 0.2018 | val 0.2264 | val IoU 0.6200 | 81.6 min
epoch 132 | train 0.2022 | val 0.2300 | val IoU 0.6211 | 82.2 min
epoch 133 | train 0.2012 | val 0.2288 | val IoU 0.6221 | 82.7 min
epoch 134 | train 0.1995 | val 0.2299 | val IoU 0.6171 | 83.3 min
epoch 135 | train 0.1996 | val 0.2281 | val IoU 0.6136 | 83.9 min
epoch 136 | train 0.2001 | val 0.2420 | val IoU 0.5905 | 84.5 min
epoch 137 | train 0.1977 | val 0.2302 | val IoU 0.6102 | 85.1 min
epoch 138 | train 0.1980 | val 0.2346 | val IoU 0.6018 | 86.1 min
epoch 139 | train 0.1988 | val 0.2376 | val IoU 0.5936 | 87.2 min
early stop: 40 epochs without improvement (best 0.2216 at epoch 99)
finished. best val loss 0.2216
