epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,19363.1,1.31764,1.56404,1.21699,1.3358,0,0.68605,0.57132,0.64952,0.38086,0.68299,0.55396,0.614,0.1948,1.36876,1.57498,1.28862,1.40698,0,0.000988912,0.000988912,0.000988912
29,20053.6,1.31145,1.57487,1.22196,1.34334,0,0.63637,0.58868,0.6438,0.3861,0.63342,0.57585,0.61131,0.19855,1.3558,1.57396,1.32319,1.39688,0,0.000988079,0.000988079,0.000988079
30,20745,1.32486,1.58782,1.22451,1.33342,0,0.62815,0.61196,0.6473,0.37565,0.61925,0.58415,0.60797,0.19002,1.36585,1.58687,1.29227,1.39332,0,0.000987216,0.000987216,0.000987216
31,21435.7,1.30759,1.56432,1.18839,1.33871,0,0.66932,0.57285,0.65691,0.38278,0.67733,0.54499,0.62171,0.19335,1.36326,1.56265,1.26068,1.39824,0,0.000986323,0.000986323,0.000986323
32,22126.2,1.31099,1.57401,1.20302,1.33505,0,0.63891,0.5766,0.63417,0.36699,0.63796,0.55325,0.5977,0.18677,1.37937,1.57326,1.29875,1.42282,0,0.000985401,0.000985401,0.000985401
33,22817,1.29744,1.55444,1.21935,1.33278,0,0.61534,0.6,0.64272,0.38106,0.62776,0.57283,0.6112,0.19338,1.35271,1.57115,1.28018,1.39984,0,0.000984449,0.000984449,0.000984449
34,23506.8,1.29348,1.56312,1.22418,1.34315,0,0.60898,0.61962,0.64589,0.38612,0.63067,0.56906,0.61536,0.19967,1.34318,1.56075,1.2795,1.40747,0,0.000983467,0.000983467,0.000983467
35,24197.8,1.30064,1.55745,1.19238,1.33237,0,0.66314,0.58642,0.66172,0.38851,0.6799,0.55547,0.62324,0.19912,1.34401,1.57772,1.25865,1.3998,0,0.000982456,0.000982456,0.000982456
36,24887.9,1.3041,1.54957,1.18429,1.34057,0,0.64148,0.59698,0.65057,0.3867,0.65179,0.57811,0.61486,0.19521,1.34994,1.57451,1.28759,1.40139,0,0.000981415,0.000981415,0.000981415
37,25578.6,1.29219,1.56263,1.19217,1.33326,0,0.66811,0.59321,0.65448,0.38852,0.64856,0.57585,0.60696,0.19114,1.336,1.58677,1.27771,1.39478,0,0.000980345,0.000980345,0.000980345
38,26268.9,1.30413,1.57246,1.21216,1.34243,0,0.60648,0.5932,0.63407,0.38195,0.60175,0.57589,0.59862,0.19133,1.35214,1.56934,1.2935,1.40593,0,0.000979246,0.000979246,0.000979246
39,26959.8,1.31451,1.55528,1.19036,1.34517,0,0.66196,0.58524,0.64996,0.37928,0.66709,0.55623,0.6087,0.19722,1.38915,1.5809,1.32229,1.43371,0,0.000978118,0.000978118,0.000978118
40,27650.2,1.2878,1.54672,1.18792,1.33863,0,0.64483,0.59019,0.65167,0.38144,0.63658,0.58264,0.61755,0.19873,1.37876,1.58049,1.30281,1.43988,0,0.00097696,0.00097696,0.00097696
41,28341.2,1.30498,1.55151,1.20107,1.33769,0,0.6343,0.61585,0.6574,0.38888,0.62143,0.59849,0.61951,0.19389,1.35553,1.58817,1.27325,1.40673,0,0.000975773,0.000975773,0.000975773
42,29031.6,1.29256,1.54054,1.18276,1.3241,0,0.63412,0.60694,0.64694,0.37975,0.625,0.58491,0.60936,0.19,1.34112,1.60668,1.28519,1.3994,0,0.000974557,0.000974557,0.000974557
43,29722.3,1.28521,1.54809,1.16174,1.31849,0,0.65024,0.59396,0.66444,0.39545,0.65518,0.5736,0.62954,0.20013,1.33122,1.55925,1.2382,1.38188,0,0.000973312,0.000973312,0.000973312
44,30412,1.27611,1.54025,1.17328,1.31958,0,0.61945,0.57887,0.63569,0.38074,0.63438,0.53428,0.59531,0.19288,1.34455,1.56914,1.30319,1.39373,0,0.000972039,0.000972039,0.000972039
45,31102.1,1.28302,1.55582,1.19391,1.32271,0,0.61745,0.59094,0.63081,0.37431,0.61429,0.5766,0.58978,0.19033,1.36847,1.58566,1.33196,1.42332,0,0.000970736,0.000970736,0.000970736
46,31792.6,1.27397,1.54815,1.15627,1.31226,0,0.65756,0.56981,0.63535,0.37931,0.64755,0.55019,0.59152,0.19181,1.33782,1.58888,1.31884,1.39218,0,0.000969405,0.000969405,0.000969405
47,32482.3,1.26364,1.54483,1.15855,1.31369,0,0.63793,0.6037,0.65052,0.38,0.63203,0.57283,0.60588,0.19143,1.36566,1.58912,1.28978,1.43234,0,0.000968045,0.000968045,0.000968045
48,33172.5,1.27928,1.55401,1.16515,1.32919,0,0.61817,0.59849,0.63766,0.3749,0.62808,0.58491,0.60952,0.19004,1.35828,1.57915,1.28491,1.41025,0,0.000966656,0.000966656,0.000966656
49,33863.1,1.27635,1.55451,1.15527,1.32232,0,0.62272,0.6054,0.65847,0.38881,0.63439,0.57132,0.62102,0.19494,1.35864,1.57331,1.25995,1.41039,0,0.000965239,0.000965239,0.000965239
50,34553.5,1.2855,1.53673,1.17006,1.33234,0,0.60127,0.58943,0.62981,0.37308,0.59016,0.57283,0.59288,0.19007,1.35985,1.58276,1.31117,1.40128,0,0.000963794,0.000963794,0.000963794
51,35243.7,1.28687,1.53371,1.15319,1.33638,0,0.62788,0.58491,0.62666,0.3683,0.62603,0.56755,0.58951,0.18517,1.34758,1.58194,1.37312,1.38957,0,0.00096232,0.00096232,0.00096232
52,35934.1,1.2624,1.53629,1.15906,1.31627,0,0.67408,0.58491,0.64744,0.3823,0.66102,0.56226,0.60464,0.18517,1.37692,1.58897,1.28725,1.42792,0,0.000960819,0.000960819,0.000960819
53,36624.9,1.27415,1.54979,1.15841,1.32706,0,0.63873,0.58189,0.62519,0.36375,0.63734,0.57166,0.59061,0.18581,1.36945,1.58217,1.32895,1.41684,0,0.000959289,0.000959289,0.000959289
54,37315.5,1.26725,1.53334,1.15,1.31182,0,0.62686,0.6317,0.65531,0.38258,0.63766,0.59774,0.63186,0.20296,1.34527,1.566,1.26697,1.39469,0,0.000957731,0.000957731,0.000957731
55,38006.2,1.2734,1.53174,1.15014,1.3118,0,0.66286,0.54415,0.63562,0.37107,0.6509,0.53434,0.58779,0.18487,1.36161,1.58267,1.28883,1.40235,0,0.000956145,0.000956145,0.000956145
56,38696.3,1.26867,1.53686,1.17105,1.30202,0,0.63549,0.59094,0.65126,0.38583,0.6364,0.57887,0.61643,0.19899,1.35519,1.57608,1.25718,1.41268,0,0.000954531,0.000954531,0.000954531
57,39387.4,1.25854,1.54311,1.13482,1.30335,0,0.66628,0.56958,0.64807,0.38449,0.63255,0.57295,0.61225,0.19816,1.34553,1.56636,1.26706,1.39894,0,0.000952889,0.000952889,0.000952889
58,40077.2,1.27611,1.52049,1.13141,1.31825,0,0.63104,0.59894,0.64518,0.3796,0.62937,0.57358,0.6083,0.19629,1.33797,1.5738,1.28251,1.38502,0,0.00095122,0.00095122,0.00095122
59,40767.1,1.25959,1.52803,1.16862,1.30331,0,0.63005,0.56755,0.62495,0.36901,0.63398,0.53736,0.59426,0.18847,1.36859,1.58466,1.32686,1.41833,0,0.000949524,0.000949524,0.000949524
60,41456.7,1.25891,1.53485,1.1311,1.31137,0,0.65377,0.5843,0.65801,0.38708,0.67276,0.54462,0.61283,0.20001,1.3502,1.59304,1.26687,1.4002,0,0.0009478,0.0009478,0.0009478
61,42146.2,1.27683,1.53182,1.14232,1.32837,0,0.61002,0.59737,0.64522,0.38288,0.61516,0.56981,0.60829,0.19654,1.36125,1.57655,1.31056,1.41287,0,0.000946048,0.000946048,0.000946048
62,42836.8,1.2783,1.53301,1.14299,1.33343,0,0.65959,0.58264,0.65657,0.383,0.65671,0.55849,0.61853,0.19362,1.35507,1.58271,1.27262,1.40092,0,0.00094427,0.00094427,0.00094427
